year,mora_trv,median_trv,mora_idx,nat_idx
1979,1516703,742997.0,114.28693068575791,79.84321437398584
1980,1268256,779058.5,95.5658989029471,83.71841989318375
1981,1233671,759014.0,92.95984254401134,81.56441750754914
1982,1007300,731218.0,75.90228626155809,78.57743103689137
1983,1106306,718375.0,83.36260766889635,77.19730917609637
1984,1152411,780520.5,86.83672154568491,83.87552790225345
1985,1165640,765433.0,87.83355599912893,82.25420978540035
1986,1298457,868452.0,97.8416111509222,93.32473645185209
1987,1292027,975794.0,97.35709640788455,104.8598171013465
1988,1255618,955246.0,94.6135976086221,102.65170809288931
1989,1354302,916595.0,102.04965560270092,98.49823226624542
1990,1327101,930570.0,100.0,100.0
1991,1549412,961925.0,116.75162628918221,103.36944023555455
1992,1522057,961095.0,114.69036644535721,103.28024759018666
1993,1365213,975997.0,102.87182362156308,104.88163168810513
1994,1426244,965883.0,107.47064466080577,103.79477094683904
1995,1438227,943301.0,108.37359025424591,101.36808622672126
1996,1338961,904509.0,100.8936772709839,97.19945839646668
1997,1315773,970696.0,99.14641010744472,104.3119808289543
1998,1353793,972709.0,102.0113013252194,104.52829985922607
1999,1291397,928124.0,97.30962451237698,99.737150348711
2000,1344833,995390.0,101.33614547800053,106.96562322017688
2001,1301103,919443.0,98.04099311205403,98.80428124697765
2002,1310390,886436.0,98.74078913360776,95.25731540883544
2003,1262351,874167.0,95.12094407283243,93.93887617266836
2004,1217750,916643.0,91.76015992754131,98.50339039513416
2005,1173897,894819.5,88.45573923913854,96.15821485756042
2006,1113601,874138.0,83.91230207798803,93.93575980313142
2007,1047685,873628.0,78.94538546802391,93.88095468368849
2008,1163227,864436.5,87.65173110411341,92.89322673200296
2009,1151654,903528.5,86.77967991886074,97.0940928678122
2010,1191754,907737.0,89.8013037440255,97.54634256423482
2011,1038229,870741.0,78.23285492211973,93.57071472323415
2012,1049178,862612.0,79.05788632515535,92.69716410372138
2013,1148552,856128.0,86.54593734764724,92.00038685966666
2014,1264259,931367.0,95.2647160992268,100.08564643175689
2015,1237231,964330.0,93.2280964297367,103.6278839850844
2016,1356913,1027738.0,102.24640023630454,110.44177224711736
2017,1415867,1031285.0,106.68871472480241,110.82293647979196
2018,1518491,953697.0,114.4216604463413,102.48525097520876
2019,1501621,1012398.5,113.15046857774955,108.79337395359833
2020,1160754,702319.0,87.46538507619239,75.47191506281096
2021,1670063,864620.5,125.84294639217362,92.91299955940983
2022,1622395,957898.5,122.2510570031972,102.93674844450176
2023,1674294,938973.0,126.1617616142253,100.90299493858603
2024,1620006,976036.0,122.07104056134386,104.88582266782724
