year,visitors,vehicles,pct_change,visitors_per_vehicle
1967,1805863.0,479525.0,-4.8,3.76594129607424
1968,1682740.0,447929.0,-6.8,3.756711443108171
1969,1795238.0,476113.0,6.3,3.7706132787804574
1970,1925131.0,515015.0,7.0,3.7380095725367224
1971,1742611.0,483021.0,-9.0,3.60773341117674
1972,1682379.0,452936.0,-3.5,3.714385696875497
1973,1528186.0,411462.0,-9.0,3.714039206536691
1974,1495514.0,404193.0,-2.0,3.699999752593439
1975,1512302.0,411163.0,2.0,3.6781081955331585
1976,1972334.0,533063.0,30.0,3.700001688355785
1977,2437332.0,658738.0,24.0,3.7000021252759066
1978,2094372.0,578413.0,-14.0,3.620893721268367
1979,1981454.0,536726.0,-5.0,3.6917421552151377
1980,2001002.0,540811.0,1.0,3.70000240379726
1981,1964864.0,701732.0,-2.0,2.8000205206546087
1982,1536014.0,531404.0,-22.0,2.8904825706995054
1983,1581987.0,548902.0,3.0,2.882093707073394
1984,1669193.0,572356.0,6.0,2.9163545066357304
1985,1638837.0,561574.0,-2.0,2.9182921574004497
1986,1830751.0,633309.0,12.0,2.8907705401312787
1987,1825629.0,635473.0,-0.2,2.8728663530944667
1988,1799978.0,617329.0,-0.2,2.9157515684505344
1989,2023900.0,700069.0,12.5,2.891000744212356
1990,1936215.0,669739.0,-4.3,2.8909993295895866
1991,2235591.0,773293.0,5.5,2.8910012117011274
1992,2358236.0,815737.0,5.5,2.890926855101583
1993,2192062.0,752515.0,-7.0,2.9129811365886393
1994,2206083.0,763086.0,0.6,2.8910018005834206
1995,2173062.0,751664.0,-1.5,2.891001830605164
1996,1868525.0,646325.0,-14.0,2.8909991103546977
1997,1820481.0,629706.0,-0.03,2.891001514992711
1998,1901301.0,657662.0,4.4,2.8910002402449893
1999,1764091.0,610201.0,-7.2,2.890999850868812
2000,1970406.0,681566.0,11.7,2.890998083824604
2001,1940104.0,671084.0,-0.02,2.8910002324597217
2002,1899512.0,650842.0,-2.04,2.9185455148868695
2003,1857562.0,649172.0,-2.22,2.8614327173692025
2004,1812978.0,600789.0,-0.91,3.0176617747661827
2005,1757910.0,618864.0,-2.13,2.840543318079578
2006,1619117.0,562471.0,-7.9,2.878578628942648
2007,1567866.0,550168.0,-3.17,2.84979497171773
2008,1736037.0,625631.0,10.73,2.7748577036623825
2009,1701153.0,609000.0,-2.01,2.7933546798029556
2010,1731913.0,614115.0,1.81,2.8201770026786512
2011,1495608.0,544305.0,-13.64,2.7477388596467054
2012,1545262.0,555874.0,3.32,2.77987817383076
2013,1721912.0,604645.0,11.43,2.8478065641822887
2014,1875651.0,652455.0,8.93,2.8747591787939397
2015,1858763.0,690863.0,-0.9,2.6904943527153717
2016,1919032.0,712909.0,3.24,2.691833038999367
2017,2046903.0,889046.0,6.66,2.302358933058582
2018,2255662.0,958506.0,10.19,2.353310255752181
2019,2248518.0,948638.0,-0.32,2.370259255901619
2020,1618558.0,633981.0,-28.02,2.5530071090458546
2021,2477816.0,1000545.0,53.09,2.47646632585241
2022,2371585.0,962128.0,-4.29,2.4649370977666174
2023,2523376.0,1002455.0,6.4,2.517196283124928
2024,2490729.0,975773.0,-1.29,2.552570116205306
2025,2405012.0,941265.0,-3.44,2.555084912325434
